gene,nOPCs_mean,aOPCs_mean,aOLs_mean,activatedaOPCs_mean,non_activatedaOPCs_mean
Ppp2r5a,12.04948385,13.49146891,13.30654681,13.47830359,14.02686488
Treh,8.945748648,8.999110587,8.948791651,9.025137084,8.916271993
Gm12670,8.975000264,8.887663145,8.813387564,9.164743322,8.878693261
LOC100046427,9.129180124,9.104698845,8.933550658,9.238679712,9.012898852
Prdx4,11.91691577,11.05450012,10.9261408,11.36399625,11.41457115
0,14.33465909,14.40010415,14.23629804,13.99420954,14.21495502
Tnfaip3,9.344402797,9.120668955,9.127981727,10.54514406,9.04966666
Arhgef6,10.34213569,9.548193224,9.337968206,9.700968429,9.317369284
Ccdc121,8.909090465,8.980753456,8.936814694,9.037828226,9.344507357
Gad2,9.455608435,9.100645452,9.034270629,9.038475159,9.477696249
Carhsp1,11.56695071,14.23261147,14.38690122,13.95345132,14.55242456
Gm5494,9.074087504,8.90990771,9.023591535,9.197865456,8.858968069
Gm2745,9.171192983,8.978642509,9.187685432,9.172266886,8.795985614
Rps29,15.86590176,15.55141729,15.67940466,15.77998919,15.38211911
Ccdc93,9.212187865,9.328952784,9.357993523,9.396027653,9.320573769
Cyp4a31,9.084168059,9.18493025,9.192144496,9.530474252,9.177367438
Rccd1,9.416862431,10.0181671,9.905662866,9.917067137,10.10625794
9130024F11Rik,8.932506269,8.775878542,8.923033164,9.083239068,8.863640453
Col8a2,9.434357187,9.103504249,8.988821301,8.945860439,8.80779247
Capn10,11.31290651,11.23662023,11.2984001,11.0662968,10.9651235
0,9.129172152,8.875196612,8.940036123,8.987788582,9.14972749
0,12.27010052,12.38876384,12.0585601,12.27700165,12.64718698
Fahd2a,10.79397141,10.69487489,10.58897126,10.16285314,10.63372432
Lass5,13.40429484,13.14578182,12.99210343,13.24195986,13.03740439
AA419673,9.103380245,8.90140957,8.920029604,8.712366676,8.950155919
2900073C17Rik,9.520894718,9.00301914,8.959263323,9.371840799,9.003572136
0,9.298602962,9.265226231,8.891297682,9.008871149,8.965969478
0,9.45111304,9.20322423,9.021794799,9.0347086,9.935534697
Kcnn2,10.00572855,9.293967395,9.093992843,8.885548457,9.209956224
0,9.209278879,8.935568262,8.943821023,9.067977897,9.089728559
Ogdhl,9.180645321,9.327514159,9.464001307,9.236767921,9.31552111
Gm11985,9.364712973,8.903194007,8.913664564,9.406112901,8.836908254
Ttc30a1,9.64251113,9.342186665,9.225917758,9.206943946,9.308022886
Mupcdh,9.097428507,9.020404592,8.978338602,8.96327655,8.686712707
Gas7,9.403080683,10.10328121,10.17842111,9.480635657,9.74114839
Zfp182,10.13867471,10.9083931,10.48958164,10.29074912,11.28593556
Tll1,9.655429028,9.272512312,9.068654328,9.030786886,9.290983677
Gcap14,13.0589953,11.89098746,11.57264585,12.15066074,11.93879062
Eif1,15.50459522,15.73176351,15.87971992,15.90060297,15.80852659
C1qc,10.15412397,9.6792548,9.60402557,11.84786263,9.438712837
D930015E06Rik,11.78705042,9.471088342,9.368331085,9.994004489,8.940130863
Pcx,11.61995896,13.70996822,13.52813519,12.8330627,13.68280831
Sv2c,9.356384823,9.210817726,9.223346168,9.159490608,8.914703977
Tcl1,9.084340668,8.822864658,9.019792729,8.889534068,8.802150131
C530025M09Rik,9.234973631,8.846218316,8.899124934,8.897979708,8.815188144
Tex261,12.29706797,12.17953922,11.99807235,12.63239816,12.66744361
4930470G03Rik,9.441380852,8.934883349,9.104398415,9.174497557,9.055903881
NA,8.700899862,8.531141277,8.664033923,8.729922889,8.688404844
