gene,neonatal_OPCs_Mean,adult_OPCs_Mean,adult_oligodendrocytes_Mean
Kri1,6394.467091,5878.367002,5077.371625
6330416L07Rik,337.1688033,336.6257366,546.1016386
1700003F12Rik,218.0372212,204.0448375,199.4420345
Ahrr,287.7686312,198.831647,208.2703107
Duox1,223.6586512,222.6562951,224.359685
LOC100044680,225.6722639,291.1669791,289.7097177
Rnase6,236.8533635,223.567853,226.4517508
Scgb2a2,231.1049861,200.0629298,218.2298432
Ccnl2,688.3253815,732.6733682,1223.401404
V1rd16,194.5226506,204.0273545,196.435535
Prune,209.2880167,221.6304978,217.2959286
Olfr450,192.3627855,212.0030298,236.044187
Snrpd2,10010.53848,7261.00927,7164.40772
Asl,280.9607561,426.0121868,358.8159086
Olfr1258,204.7910727,203.099502,196.5947123
Pafah1b1,3922.115712,6906.87295,7850.837875
4930438A08Rik,195.6007576,206.0119727,209.6357786
Tktl2,184.9950218,200.2872773,191.448273
Chchd5,333.7975318,606.9993416,508.49814
Gm5471,7953.350539,20022.25301,21894.67461
Fam173a,15880.29451,10188.25548,10701.20293
Rexo2,677.3726388,2268.850112,2763.839011
Tuba1b,47433.69567,36882.40369,34854.45437
Dcdc2a,246.6861758,425.331878,400.0145148
D630042P16Rik,256.9114955,367.7785977,403.0745841
Zfp423,291.7489973,298.2746964,271.1874059
Clybl,221.0207327,226.30455,214.2013034
LOC100048011,227.3992627,197.9311975,203.2071343
Tnfrsf11b,388.6736812,288.5434864,185.6351861
Olfr551,205.85567,233.4345291,226.2181218
Cdkl3,206.0036976,224.4967425,191.9725786
Rhbg,204.33055,195.6214459,197.1809377
Gm281,202.7742179,203.5261927,205.3171361
Sntb1,212.8034333,232.2366275,228.6654002
Dhx9,245.7862045,248.301758,268.5485689
Ski,214.8289455,275.1037507,273.2252511
4933413J09Rik,201.1077515,214.910982,224.828702
Txlna,519.3626806,664.1817877,802.0401968
Apon,214.5275112,213.226015,217.1344262
Ston1,242.7407788,203.5041018,221.377178
Psg20,178.8874903,215.8353345,189.7111161
Zdhhc9,196.2239739,400.2581914,358.3293843
St6galnac2,338.3758267,274.4860534,254.4244296
(+)E1A_r60_a135,219.3213714,219.4541735,215.6294765
Snx6,3360.386638,3879.492285,2904.854486
Ralgapa2,200.4606676,213.8207264,238.8557784
1700007F19Rik,182.3748185,223.8672555,225.050925
Myl1,194.0478791,214.3940093,223.357067
Ceacam12,178.5453758,194.7131882,196.4023943
Rnf167,3215.432611,4646.928493,4520.305476
Asz1,192.6124355,193.2315895,195.2395757
Bpil2,7067.170147,2629.859271,2657.609534
0,195.8725897,215.878963,240.7652311
0,189.5122888,197.39485,204.3940675
