gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes,Human_Neurons,Human_Oligodendrocytes,Human_Microglia_Macrophage,Human_Endothelial,Human_Whole_Cortex
ACTL7B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACTL8,0.13777,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACTL9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACTN1,9.7191876,0.50855675,3.561105,0.5641375,2.23348,0.1495404,0.1,1.725865,1.008122
ACTN2,1.945505,1.50635225,1.694266833,0.135786417,1.2692,0.5254708,0.1,0.962299,1.03138675
ACTN3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACTN4,6.1089472,4.346875,12.20087167,1.099171333,0.305121,1.5534738,0.8,11.43734,0.775612
ACTR10,4.79359,6.920555,1.2827865,6.071238333,12.1179,5.956594,1.7,3.224895,3.045735
ACTR1A,4.95766,9.166965,11.15727,7.070311667,5.58601,4.692006,3.4,4.45991,1.0147365
ACTR1B,3.78675,3.938495,7.635776667,2.749675833,3.35817,1.8459162,1.3,5.063665,1.180812
ACTR2,18.4971675,17.772725,11.83871,16.65166667,31.9458,21.9432,52.1,6.49828,7.055015
ACTR3,26.4724775,19.19295,10.099175,10.28346333,15.0522,16.28186,37.4,5.934875,8.04106
ACTR3B,1.107918,1.455655,5.755015,1.948779833,6.90057,1.975344,0.3,3.06025,4.55637
ACTR3BP2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACTR3BP5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACTR3C,0.136562825,0.14650075,0.591046333,0.3762925,1.14487,0.1202284,0.2,0.3301495,0.452323375
ACTR5,1.28069175,0.68680525,1.489661667,0.42955675,1.71636,0.74424,0.5,0.314317,0.433826
ACTR6,2.199096,2.62634,2.016666333,2.204246167,6.5448,4.560562,1.6,1.1479065,0.72431925
ACTR8,2.369185,2.3274175,2.328086333,2.953324167,4.07911,2.29275,2.0,0.4680385,0.92656225
ACTRT1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACTRT2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACVR1,1.72927925,2.588725,4.478056667,2.978080083,3.49239,1.598722,2.1,10.56687,1.027212
ACVR1B,4.6587475,2.36866625,2.729473333,3.140645,5.99254,1.78064,1.7,0.983424,2.43303
ACVR1C,0.079223625,0.8407435,0.168668817,0.641959167,1.06631,1.5337324,0.1,0.1,2.211703
ACVR2A,1.19795,1.8516675,4.473251667,1.711846667,5.32142,2.126466,1.0,0.9108135,1.9754275
ACVR2B,1.04204475,1.61531725,5.028765,1.520356,1.5717,1.2692144,0.3,0.466735,0.89905325
ACVRL1,0.080306725,0.1,0.165564783,0.1,0.1,0.1,0.1,2.585005,0.1010603
ACY1,1.585822,1.121946,1.253149167,1.776319917,0.367847,0.2677826,0.5,1.093492,0.3164045
ACY3,0.15136,1.18987925,0.090859483,0.140857917,0.1,0.1761518,4.2,0.2105055,0.087318325
ACYP1,5.57789,8.85387,1.92379,3.900310833,36.3579,6.536226,1.8,3.415085,2.974345
