gene,h4_mean,h24_mean,h48_mean,h72_mean,d7_mean,d21_mean,d28_mean
Dnmt1,318.2254214,422.3442486,548.62823,459.6498249,494.7797542,340.2197227,384.9054464
Nfib,35.27657578,31.53023132,36.40313159,33.76698932,30.64612979,27.44733394,31.00509069
Nfib,273.9985082,240.233733,195.7024082,270.145927,196.6452368,230.030108,185.3276904
Nfib,306.3002455,315.0502874,342.9513909,377.3208311,285.4480889,401.9564548,355.7724619
Nfic,274.5666134,235.9295183,325.0058659,241.2094327,229.28876,319.8267074,244.6086484
Nfix,1243.250767,1068.989164,1545.695699,1078.981075,1112.963182,1568.064963,1263.53259
Nfix,309.4909892,293.7462969,1221.739351,274.0907406,445.6584644,1291.8419,516.1509626
Nfix,238.856186,200.5598633,439.362202,252.8676422,239.2982647,461.4543395,226.7054362
Arntl,239.5964687,233.9583987,157.279206,193.2634337,150.9172615,159.1560089,173.2395959
Prep,197.7800862,322.1577097,334.8309644,316.2647003,334.887076,251.5016537,309.0157416
Acsl5,235.8048983,250.0537674,261.5769547,318.7676519,279.2583836,230.8836138,227.9820677
Acsl5,442.3614175,481.7961755,655.3312505,564.0276505,658.5713623,487.0063812,508.9474278
Pth1r,95.27656953,89.69256554,129.0149491,85.43084279,105.215531,122.0393606,126.8668759
Nr5a2,98.05875375,76.17377494,80.31155638,67.63496099,64.10517504,92.35048753,68.4231222
Aqp9,275.1972268,227.6831498,228.4557262,211.4426134,189.5521543,284.7408699,245.3150022
Serpina5,21.3480028,15.95434216,18.33618778,15.47851436,14.83456472,17.53412622,15.57250785
Synpo,429.2042893,358.7142904,419.2706446,349.4427006,320.1468996,412.3089405,363.934135
Dpm2,162.6619561,165.3901724,210.9507841,174.2990911,197.7035253,221.0746794,194.4289474
Dpm2,668.5473959,649.6391564,744.8774635,620.7992703,672.3184779,779.2035134,673.6399225
#N/A,202.6198881,147.0452206,162.3064765,128.4280561,119.1434693,157.5760405,130.4558999
#N/A,410.0047156,410.7806333,443.0969499,343.5159091,404.725132,378.795421,383.4008205
Slc34a1,498.669022,367.3559503,452.4526878,339.0757298,293.843186,466.2349209,332.8994601
Slc34a1,438.9049295,336.0426699,355.6813221,268.485341,251.5564189,349.7659178,273.7479083
Ugdh,1718.59612,1702.443319,1298.340402,1397.332189,1354.798201,901.0502021,1128.735137
#N/A,22.25927335,20.68144481,21.49781225,22.72946483,20.43811084,20.01566985,20.30609913
Sart1,184.5979932,200.3531745,231.5418022,163.8467705,217.5015248,228.0368605,210.0650373
Sart1,698.6593332,911.2984554,987.2954466,789.6944111,1017.727719,956.1960556,930.5568998
Dbn1,147.154729,186.5467906,213.842222,170.8624888,195.7938469,168.7325512,166.6478969
Rhd,274.1293824,248.7027517,219.2842366,269.7764482,242.7304791,184.0427035,204.7883433
Rhd,454.3447712,418.3254083,337.8963778,414.1776912,374.2976429,306.4411646,346.3989056
Rhag,128.5340595,113.2758726,103.1934465,139.7794979,125.0453072,84.47026963,110.3021244
Gna15,534.8937647,482.5083017,632.3658218,841.8635556,985.9954101,590.6027862,803.4305267
Prlh,252.6391811,240.408814,211.5637373,262.3623213,223.2612848,216.8196832,204.6528726
Slc7a5,956.0427668,1088.207988,845.7037498,890.1010727,933.0407864,943.8765286,1008.172823
Slc3a2,1846.689998,2571.363624,1997.705247,2288.322694,2201.228234,1495.100187,2431.878267
Fut1,584.5513671,572.3585605,434.2012193,580.3187855,503.9582775,401.6067327,475.8080362
Fut1,50.13400419,53.62072995,47.03355781,59.84212289,52.53983391,40.53259182,47.17355952
Trhr2,265.9419256,232.6443693,238.0265494,276.3213563,241.8696314,198.2751484,223.404445
Mecr,71.1339847,81.11729455,75.88697368,82.12881376,74.92396753,66.71893182,71.82687691
Mecr,287.6656927,302.7616602,283.7569352,270.2557502,264.9716417,267.2674114,276.8960693
Tubg1,238.9662166,280.0616418,363.7533146,268.4262055,283.4553365,288.2558429,277.454056
Gabbr1,850.225526,781.8483538,560.4006198,659.9485185,656.4773552,923.7615557,860.6532781
Gabbr1,286.1901099,245.5269876,171.3612944,224.8689565,216.340313,268.7504289,245.1341944
Gabbr1,177.1407296,169.5408324,145.4990011,141.154042,151.504905,135.5831827,137.3794379
Gabbr1,481.7685058,439.4399677,424.4039365,444.4238078,405.9104779,410.0924622,359.5780473
Gabbr1,510.7440432,448.0898077,329.6254395,413.2624138,301.6652609,336.2254397,291.6136147
