gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes
ADAMTS10,0.051156375,0.048666175,0.41634125,0.143828917
ADAMTS12,0.19139175,0.09065435,0.112739333,0.1
ADAMTS13,0.06257185,0.20731325,0.09523585,0.138427083
ADAMTS14,0.0724106,0.08405875,0.1,0.1
ADAMTS15,0.39100575,0.068316475,0.272842833,0.1
ADAMTS16,0.0761777,0.078816125,0.098835917,0.1
ADAMTS17,0.03915005,0.281275,0.472431483,0.73314275
ADAMTS18,0.173423125,1.711762,0.1,0.128522583
ADAMTS19,0.105001,0.1708525,0.447384167,0.133208583
ADAMTS2,0.201824425,0.06056745,0.16144345,0.1
ADAMTS20,0.1,0.085085775,0.084819143,0.1
ADAMTS3,0.80946925,0.081479625,0.616903667,0.12294525
ADAMTS4,0.44970325,3.54843875,0.1,0.154769167
ADAMTS5,0.3459689,0.096573625,0.156382333,0.1
ADAMTS6,1.23673525,0.34395125,1.764678333,0.101736167
ADAMTS7,0.08292155,0.07851655,0.3858013,0.1
ADAMTS8,0.273717725,0.67674975,0.092838983,0.119004167
ADAMTS9,4.93009625,0.6331785,0.600324667,0.4042585
ADAMTS9-AS2,0.44975725,0.114208025,0.597636167,0.153129
ADAMTSL1,0.282687825,0.10870835,0.542201917,0.1
ADAMTSL2,0.1,0.061595,0.1,0.1
ADAMTSL3,0.045110525,0.42970225,0.176946617,0.1066065
ADAMTSL4,0.51628325,0.113106925,0.3117015,0.1257835
ADAMTSL5,0.269612375,0.073788275,0.1,0.595889167
ADAP1,0.08426175,0.37096075,0.1,0.1006665
ADAP2,0.27077425,1.30416425,0.1059555,0.266261667
ADAR,13.82401,11.2461475,12.86485167,9.56259
ADARB1,0.80805975,0.69090875,0.945358,0.621822583
ADARB2,0.097262513,3.46992,0.123004067,0.644948917
ADARB2-AS1,0.1,1.66986,0.1,0.1
ADAT1,1.21624,1.1622455,1.121602833,0.846324583
ADAT2,0.30665375,0.26454275,0.926744833,0.328746083
ADAT3,0.1,0.1,0.1,0.1
ADC,0.24995555,0.726405,0.427513667,0.16889175
ADCK1,0.579852,1.65174,0.688806667,0.7624085
ADCK2,0.36789825,1.04937525,0.742359,0.590542583
ADCK3,2.23919725,1.356314,0.907621833,0.9966445
ADCK4,0.08096655,0.2563275,0.127393167,0.20305875
ADCK5,0.1,0.1,0.292848333,0.1
ADCY1,0.515695575,0.69785155,0.722987,0.196034167
ADCY10,0.07091815,0.1176664,0.085058733,0.1
ADCY2,4.45023,6.6541925,3.201711667,18.74868333
ADCY3,1.41438125,0.669692,1.612065,1.255054333
ADCY4,0.1,0.080667125,0.1,0.1
ADCY5,0.3746204,2.17384975,0.329124167,0.269431333
ADCY6,0.43999125,0.29599275,0.824776667,0.454558833
ADCY7,0.34458925,0.73098175,0.991548333,0.344266833
ADCY8,3.599743,2.2961975,0.365816,3.772845833
ADCY9,0.77792175,0.61307725,0.612044167,1.06036375
ADCYAP1,0.0867267,0.3987925,0.856027833,0.107332917
